iter	MultiClass
0	1.508383607
1	1.428464647
2	1.363713794
3	1.306791481
4	1.258669974
5	1.212533922
6	1.173595018
7	1.13888267
8	1.109521523
9	1.081184006
10	1.058311714
11	1.034158299
12	1.012052759
13	0.992990155
14	0.9761004393
15	0.9585964682
16	0.9424194788
17	0.929042492
18	0.9170210457
19	0.9019353393
20	0.8891734447
21	0.8770051127
22	0.8660339775
23	0.854590499
24	0.8423994165
25	0.8335308591
26	0.8247347939
27	0.8154605571
28	0.8094203369
29	0.801183384
30	0.7920644609
31	0.7832472096
32	0.774629563
33	0.7683996013
34	0.7599212023
35	0.7525773739
36	0.7463232943
37	0.7404128815
38	0.7331856068
39	0.7267835035
40	0.7211612627
41	0.713842352
42	0.7074808085
43	0.703275911
44	0.6980120283
45	0.6909917415
46	0.6854392436
47	0.6795929954
48	0.6746203099
49	0.6695526634
50	0.6636943716
51	0.6595432281
52	0.6564356592
53	0.6523292825
54	0.6479746013
55	0.6442896945
56	0.6406047259
57	0.6361672664
58	0.6311192265
59	0.6272653228
60	0.6223760094
61	0.6180998702
62	0.6152189722
63	0.6122232973
64	0.6087078974
65	0.6050019754
66	0.6001828364
67	0.5966418244
68	0.5930198691
69	0.5884767132
70	0.5856526198
71	0.5824278607
72	0.5793106537
73	0.5766757426
74	0.573575719
75	0.5705748514
76	0.5673046309
77	0.5632519884
78	0.5603042948
79	0.5557776469
80	0.5523679204
81	0.5488821977
82	0.5464110977
83	0.5432459401
84	0.5411862094
85	0.5372996993
86	0.5344274881
87	0.5308568054
88	0.528637656
89	0.5253726768
90	0.5236017926
91	0.5207878012
92	0.5188861287
93	0.5165850973
94	0.514371696
95	0.5118456485
96	0.5099096135
97	0.5078992722
98	0.50598901
99	0.5034119988
