iter	Passed	Remaining
0	1	137
1	2	141
2	4	135
3	5	134
4	7	135
5	8	139
6	10	144
7	12	144
8	14	144
9	15	140
10	16	136
11	18	134
12	19	132
13	21	130
14	22	128
15	24	128
16	25	126
17	27	125
18	29	123
19	30	122
20	31	120
21	33	118
22	34	116
23	36	115
24	37	112
25	39	111
26	41	111
27	42	109
28	44	108
29	45	106
30	47	105
31	48	103
32	50	101
33	50	97
34	52	97
35	53	95
36	55	93
37	56	91
38	57	89
39	58	88
40	60	86
41	61	84
42	62	83
43	64	81
44	65	79
45	66	78
46	68	76
47	69	75
48	70	73
49	72	72
50	73	70
51	74	68
52	76	67
53	77	66
54	79	64
55	80	63
56	82	61
57	83	60
58	83	58
59	85	56
60	86	55
61	87	53
62	89	52
63	90	50
64	92	49
65	93	48
66	94	46
67	96	45
68	97	43
69	99	42
70	100	40
71	101	39
72	102	38
73	104	36
74	105	35
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	112	26
81	114	25
82	115	23
83	116	22
84	117	20
85	119	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	127	11
92	128	9
93	129	8
94	130	6
95	132	5
96	133	4
97	134	2
98	136	1
99	137	0
