EmployeeNumber,Attrition,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,PerformanceIndex,JobInvolvement,JobLevel,PerformanceRating,MonthlyAchievement,MonthlyIncome,Incentive,StockOptionLevel,DistanceFromHome,OverTime,StandardHours,RemoteWork,FlexibleWork,WorkLifeBalance,StressRating,StressSelfReported,ExtendedLeave,WelfareBenefits,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,InHouseFacility,ExternalFacility
1,Yes,41,Female,Single,2,Life Sciences,Sales,Sales Executive,Travel_Rarely,94,3,2,1,19479,5224,0,0,1,16,40,1,0,1,4,1,0,1,0,2,4,1,8,8,6,4,0,5,agent_B,0,0
2,No,49,Male,Married,1,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,61,2,2,4,24907,6863,3431,1,8,7,40,3,1,3,2,1,0,4,3,3,2,4,1,10,10,7,1,7,intern,1,0
4,Yes,37,Male,Single,2,Other,Research & Development,Laboratory Technician,Travel_Rarely,92,2,1,3,2396,7612,0,0,2,32,40,2,0,3,3,1,0,2,3,4,3,2,6,7,0,0,0,0,intern,1,0
5,No,33,Female,Married,4,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,56,3,1,1,23159,11245,0,0,3,28,40,2,1,3,1,1,1,4,3,4,3,3,1,8,8,7,3,0,intern,1,1
7,No,27,Male,Married,1,Medical,Research & Development,Laboratory Technician,Travel_Rarely,40,3,1,2,16632,3029,0,1,2,10,40,2,0,3,3,3,0,2,3,1,2,4,9,6,2,2,2,2,agent_C,0,0
8,No,32,Male,Single,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,79,3,1,2,11864,9313,0,0,2,14,40,3,0,2,3,3,0,2,2,4,4,3,0,8,7,7,3,6,agent_A,0,0
10,No,59,Female,Married,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,81,4,1,4,9964,5562,0,3,3,0,40,2,1,2,3,3,0,1,3,3,1,1,4,12,1,0,0,0,intern,0,0
11,No,30,Male,Divorced,1,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,67,3,1,4,13335,7362,3681,1,24,0,40,4,1,3,2,1,0,2,2,4,3,2,1,1,1,0,0,0,direct_recruiting,0,0
12,No,38,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,44,2,3,4,8787,6266,2521,0,23,24,40,4,1,3,1,1,0,3,2,4,3,2,0,10,9,7,1,8,intern,1,1
13,No,36,Male,Married,3,Medical,Research & Development,Healthcare Representative,Travel_Rarely,94,3,2,2,16577,8258,0,2,27,5,40,5,1,2,3,3,0,3,3,3,3,2,6,17,7,7,7,7,intern,1,1
14,No,35,Male,Married,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,84,4,1,2,16479,8320,2496,1,16,32,40,3,1,3,3,2,0,2,5,1,2,3,0,6,5,4,0,3,intern,0,0
